,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
86,5/8/2015,5.787395382,4.679821429,31.67,31.905001,31.5275,31.905001,222201600,31.7162505,0.453751
87,5/11/2015,2.206645022,5.787395382,31.8475,31.889999,31.407499,31.58,168143200,31.648749,-0.0675015
88,5/12/2015,0.90239899,2.206645022,31.4,31.719999,31.205,31.467501,192640000,31.4624995,-0.1862495
89,5/13/2015,0.229734849,0.90239899,31.5375,31.797501,31.467501,31.502501,138776800,31.632501,0.1700015
90,5/14/2015,5.486909812,0.229734849,31.852501,32.237499,31.790001,32.237499,180814000,32.01375,0.381249
91,5/15/2015,6.257224026,5.486909812,32.267502,32.372501,32.052502,32.192501,152832000,32.2125015,0.1987515
92,5/18/2015,5.603005051,6.257224026,32.095001,32.68,32.09,32.547501,203531600,32.385,0.1724985
93,5/19/2015,5.757564935,5.603005051,32.672501,32.720001,32.41,32.517502,178532800,32.5650005,0.1800005
94,5/20/2015,8.676957071,5.757564935,32.5,32.744999,32.334999,32.514999,145819600,32.539999,-0.0250015
95,5/21/2015,4.931262626,8.676957071,32.517502,32.907501,32.4575,32.8475,158921600,32.6825005,0.1425015
96,5/22/2015,7.78782197,4.931262626,32.900002,33.2425,32.849998,33.134998,182384000,33.046249,0.3637485
97,5/26/2015,3.130645743,7.78782197,33.150002,33.227501,32.279999,32.404999,282790400,32.75375,-0.292499
98,5/27/2015,2.814848485,3.130645743,32.584999,33.064999,32.512501,33.009998,183332800,32.78875,0.035
99,5/28/2015,7.145562771,2.814848485,32.965,32.987499,32.775002,32.945,122933200,32.8812505,0.0925005
100,5/29/2015,4.685732323,7.145562771,32.807499,32.862499,32.474998,32.57,203538000,32.6687485,-0.212502
101,6/1/2015,4.996969697,4.685732323,32.57,32.8475,32.512501,32.634998,128451200,32.6800005,0.011252
102,6/2/2015,7.791939033,4.996969697,32.465,32.665001,32.330002,32.490002,134670400,32.4975015,-0.182499
103,6/3/2015,2.869155844,7.791939033,32.665001,32.735001,32.474998,32.529999,123934000,32.6049995,0.107498
104,6/4/2015,7.093170996,2.869155844,32.395,32.645,32.227501,32.34,153800400,32.4362505,-0.168749
105,6/5/2015,4.939123377,7.093170996,32.375,32.422501,32.09,32.162498,142507200,32.2562505,-0.18
106,6/8/2015,3.519545455,4.939123377,32.224998,32.302502,31.7075,31.950001,210699200,32.005001,-0.2512495
107,6/9/2015,7.552191188,3.519545455,31.674999,32.02,31.405001,31.855,224301600,31.7125005,-0.2925005
108,6/10/2015,7.361212121,7.552191188,31.98,32.334999,31.9625,32.220001,156349200,32.1487495,0.436249
109,6/11/2015,6.010064935,7.361212121,32.294998,32.544998,32.119999,32.147499,141563600,32.3324985,0.183749
